agent(s)s: 2, number of iterations: 50, neighbourhood radius: 10, total agent store: 113.0
agent(s)s: 100, number of iterations: 50, neighbourhood radius: 10, total agent store: 7055.999999999998
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 6594.999999999998
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 250.0
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 4421.299999999999
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5286.5
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5895.599999999999
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5292.2
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5650.499999999998
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5488.9000000000015
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5782.900000000001
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5632.200000000001
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5432.199999999998
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 4902.799999999998
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5410.900000000001
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5396.400000000001
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5908.0
agent(s)s: 100, number of iterations: 25, neighbourhood radius: 10, total agent store: 5815.9
agent(s)s: 100, number of iterations: 25, neighbourhood radius: 10, total agent store: 5476.5999999999985
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5179.400000000001
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5600.4000000000015
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5536.2
agent(s)s: 100, number of iterations: 500, neighbourhood radius: 10, total agent store: 5498.499999999999
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 62.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 102.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 101.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 105.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 154.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 90.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 111.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 71.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 55.7
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 95.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 133.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 155.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 130.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 71.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 113.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 140.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 129.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 137.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 61.099999999999994
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 125.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 91.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 91.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 137.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 145.5
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 131.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 44.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 71.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 118.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 116.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 90.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 113.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 132.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 90.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 120.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 117.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 108.0
agent(s)s: 2, number of iterations: 25, neighbourhood radius: 10, total agent store: 128.0
